Fighter,Wins,Losses,KOs,KO_Losses,First_KO_Loss_Date,Post_KO_Win_%
Don Cockell,0,1,0,1,1955-05-16,0.0
Wallace Bud Smith,2,2,0,1,1957-02-13,0.0
Flash Elorde,11,4,5,3,1956-01-18,73.33333333333333
Yolande Pompey,0,1,0,1,1956-06-05,0.0
Mario D'Agata,1,1,1,0,,
Oscar Suarez,0,1,0,1,1956-06-30,0.0
Joe Brown,12,1,6,0,,
Floyd Patterson,8,5,7,4,1959-06-26,37.5
Gene Fullmer,7,3,3,1,1957-05-01,66.66666666666666
Dai Dower,0,1,0,1,1957-03-30,0.0
Alphonse Halimi,2,2,0,2,1959-07-08,0.0
Dommy Ursua,0,2,0,1,1957-06-15,0.0
Hogan Bassey,2,2,2,0,,
Cherif Hamia,0,1,0,1,1957-06-24,0.0
Tommy Jackson,0,1,0,1,1957-07-29,0.0
Pete Rademacher,0,1,0,1,1957-08-22,0.0
Tony Anthony,0,1,0,1,1957-09-20,0.0
Virgil Akins,4,2,4,0,,
Joey Lopes,0,2,0,1,1957-12-04,0.0
Young Martin,0,1,0,1,1957-12-07,0.0
Isaac Logart,0,1,0,1,1958-03-21,0.0
Ricardo Moreno,0,1,0,1,1958-04-01,0.0
Ramon Arias,0,2,0,1,1961-08-19,0.0
Ralph Dupas,2,4,0,3,1958-05-07,33.33333333333333
Vince Martinez,0,1,0,1,1958-06-06,0.0
Kenny Lane,0,3,0,1,1959-06-12,0.0
Roy Harris,0,1,0,0,,
Don Jordan,3,1,0,0,,
Yvon Durelle,0,2,0,2,1958-12-10,0.0
Johnny Busso,0,1,0,0,,
David Moore,6,1,2,0,,
Brian London,0,2,0,2,1959-05-01,0.0
Paolo Rosi,0,1,0,1,1959-06-03,0.0
Carlos Ortiz,14,4,9,0,,
Ingemar Johansson,1,2,1,2,1960-06-20,0.0
Jose Becerra,3,0,2,0,,
Denny Moyer,2,4,0,1,1972-03-04,0.0
Harold Gomes,1,2,0,2,1960-03-16,0.0
Paul Jorgensen,0,1,0,0,,
Kenji Yonekura,0,2,0,0,,
Sadao Yaoita,0,1,0,1,1959-11-05,0.0
Dave Charnley,0,3,0,2,1959-12-02,0.0
Spider Webb,0,1,0,0,,
Paul Pender,5,1,1,0,,
Battling Torres,0,2,0,2,1960-02-04,0.0
Pone Kingpetch,6,3,1,2,1962-10-10,40.0
Benny Paret,3,3,0,3,1961-04-01,25.0
Duilio Loi,3,2,0,0,,
Kazuo Takayama,0,2,0,0,,
Cisco Andrade,0,1,0,0,,
Eder Jofre,11,2,8,0,,
Eloy Sanchez,0,1,0,1,1960-11-18,0.0
Luis Federico Thompson,0,1,0,0,,
Terry Downes,1,3,0,2,1961-01-14,25.0
Jesse Bowdry,0,1,0,1,1961-02-07,0.0
Piero Rollo,0,1,0,0,,
Emile Griffith,15,8,5,1,1971-09-25,0.0
Danny Valdez,0,1,0,1,1961-04-08,0.0
Von Clay,0,1,0,1,1961-04-24,0.0
Gaspar Ortega,0,1,0,1,1961-06-03,0.0
Giulio Rinaldi,0,1,0,0,,
Mitsunori Seki,0,5,0,3,1964-03-01,0.0
Florentino Fernandez,0,1,0,0,,
Eddie Cotton,0,2,0,0,,
Bert Somodio,0,1,0,0,,
Tom McNeeley,0,1,0,1,1961-12-04,0.0
Sergio Caprari,0,1,0,1,1961-12-16,0.0
Johnny Caldwell,0,1,0,1,1962-01-18,0.0
Herman Marques,0,1,0,1,1962-05-04,0.0
Doug Jones,0,2,0,0,,
Kyo Noguchi,0,1,0,0,,
Gustav Scholz,0,1,0,0,,
Auburn Copeland,0,1,0,0,,
Olli Maki,0,1,0,1,1962-08-17,0.0
Jose Medel,0,2,0,1,1962-09-11,0.0
Eddie Perkins,4,2,1,0,,
Sonny Liston,2,2,2,1,1965-05-25,0.0
Fighting Harada,6,4,1,1,1970-01-06,0.0
Joey Giambra,0,1,0,0,,
Dick Tiger,6,3,1,1,1968-05-24,0.0
Teruo Kosaka,0,3,0,3,1962-12-03,0.0
Jorge Fernandez,0,1,0,1,1962-12-08,0.0
Johnny Bizzarro,0,2,0,1,1966-06-20,0.0
Stan Harrington,0,2,0,0,,
Sugar Ramos,4,3,1,2,1966-10-22,0.0
Roberto Cruz,1,1,1,0,,
Luis Rodriguez,1,3,0,1,1969-11-22,0.0
Katsutoshi Aoki,0,1,0,1,1963-04-04,0.0
Douglas Vaillant,0,1,0,1,1963-04-07,0.0
Johnny Jamito,0,1,0,0,,
Willie Pastrano,3,1,1,1,1965-03-30,0.0
Rafiu King,0,1,0,0,,
Sandro Mazzinghi,5,2,3,1,1965-06-18,33.33333333333333
Hiroyuki Ebihara,2,4,1,0,,
Love Allotey,0,1,0,0,,
Joey Giardello,2,1,0,0,,
Yoshinori Takahashi,0,1,0,1,1964-01-04,0.0
Muhammad Ali,22,3,12,0,,
Gregorio Peralta,0,1,0,0,,
